Block,Treat,Rep,Cage,Time,Ini ad,Ini nym,adtot,nymtot,IGR,adtop,nymtop,addist,nymdist,logtop
2,HR,4,HR14,2,14,52,11,73,5.151260504,0.545454545,0.616438356,1.590909091,1.917808219,0.079181245
2,HR,5,HR15,2,14,33,14,71,4.676515152,0.5,0.577464789,1.607142857,0.915492958,0
2,HR,6,HR16,2,15,34,11,57,5.166666667,0.363636364,0.298245614,1.363636364,0.789473684,-0.243038048
2,HR,7,HR17,2,14,24,14,111,7.899253731,0.5,0.603603604,1.071428571,0.472972973,0
2,HR,8,HR18,2,14,31,13,91,6.478991597,0.692307692,0.604395604,1.153846154,0.302197802,0.352182517
2,HR,9,HR19,2,14,41,13,124,10.31054688,0.307692308,0.298387097,0.769230769,0.443548387,-0.352182517
2,HR,10,HR110,2,14,34,11,78,5.558673469,0.363636364,0.282051282,1.818181818,0.993589744,-0.243038048
2,HL,1,HL11,2,14,35,9,80,6.053113553,0.333333333,0.25,2.5,1.46875,-0.301029996
2,HL,2,HL12,2,13,50,8,53,3.396078431,0.375,0.358490566,2.5,1.981132075,-0.22184875
2,HL,3,HL13,2,14,44,12,47,3.31462585,0.75,0.829787234,2.5,0.957446809,0.477121255
2,HL,4,HL14,2,12,36,11,67,5.117788462,0.545454545,0.462686567,0.681818182,0.559701493,0.079181245
2,HL,5,HL15,2,14,30,6,54,3.560606061,0.5,0.722222222,1.25,0.555555556,0
2,HL,6,HL16,2,13,26,8,49,4.048611111,0.75,0.489795918,0.9375,1.071428571,0.477121255
2,HL,7,HL17,2,14,48,5,31,2.198051948,0.6,0.35483871,4,2.419354839,0.176091259
2,HL,8,HL18,2,12,36,6,40,2.811461794,0.333333333,0.55,0.833333333,0.4375,-0.301029996
2,HL,9,HL19,2,14,41,8,41,2.764880952,0.25,0.195121951,2.5,2.56097561,-0.477121255
2,HL,10,HL110,2,13,27,6,48,3.674825175,0.5,0.416666667,2.083333333,0.833333333,0
2,C,1,C11,3,15,35,13,121,8.005555556,0.307692308,0.314049587,1.346153846,0.805785124,-0.352182517
